,dah,PEM2010_INPUT_DTC_ISO_1,PEM2010_INPUT_NP_1,PEM2010_INPUT_RHOB_1,PEM2010_INPUT_RT_1,PEM2010_INPUT_SWE_1,PEM2010_INPUT_SWT_1,PEM2010_INPUT_VCL_1,WELL
7221,3636.5,106.98971,0.5405237,2.4453585,1.111257,1.0,1.0,0.6044348,EBONI-04
7222,3637.0,107.88705,0.5686843,2.4438882,1.0720371,1.0,1.0,0.59741145,EBONI-04
7223,3637.5,108.62404,0.529004,2.4538047,1.0192286,1.0,1.0,0.609187,EBONI-04
7224,3638.0,109.01646,0.49338526,2.4655004,0.99043846,1.0,1.0,0.61616373,EBONI-04
7225,3638.5,109.97497,0.49037948,2.4658074,0.96186626,1.0,1.0,0.6192674,EBONI-04
7226,3639.0,111.086365,0.5401475,2.4532943,0.9285285,1.0,1.0,0.62247705,EBONI-04
7227,3639.5,110.66445,0.58177507,2.4594002,0.90269196,1.0,1.0,0.6265345,EBONI-04
7228,3640.0,110.46045,0.56648844,2.4669707,0.844449,1.0,1.0,0.6254905,EBONI-04
7229,3640.5,112.51611,0.52404475,2.4481986,0.7825971,1.0,1.0,0.6282705,EBONI-04
7230,3641.0,113.99046,0.5101465,2.432453,0.737442,1.0,1.0,0.6253855,EBONI-04
7231,3641.5,114.33877,0.49283892,2.435316,0.71633524,1.0,1.0,0.6062952,EBONI-04
7232,3642.0,114.79828,0.4726073,2.4426377,0.703339,1.0,1.0,0.6080921,EBONI-04
7233,3642.5,116.258804,0.49552602,2.4468694,0.6834454,1.0,1.0,0.6082229,EBONI-04
7234,3643.0,118.47406,0.53100854,2.460743,0.6480075,1.0,1.0,0.58888,EBONI-04
7235,3643.5,119.97429,0.5444657,2.4375794,0.5986469,1.0,1.0,0.5585142,EBONI-04
7236,3644.0,119.73706,0.52258044,2.4118342,0.5939819,1.0,1.0,0.58280057,EBONI-04
7237,3644.5,117.035645,0.50933206,2.4264007,0.65647143,1.0,1.0,0.604166,EBONI-04
7238,3645.0,111.32106,0.5318242,2.455043,0.7666125,1.0,1.0,0.59552944,EBONI-04
7239,3645.5,109.07345,0.53935677,2.4795742,0.78260154,1.0,1.0,0.5959758,EBONI-04
7240,3646.0,113.113144,0.5223095,2.4536877,0.69163954,1.0,1.0,0.59414434,EBONI-04
7241,3646.5,118.28428,0.525871,2.397967,0.5910915,1.0,1.0,0.606963,EBONI-04
7242,3647.0,120.01064,0.544291,2.3890183,0.56013155,1.0,1.0,0.61861575,EBONI-04
7243,3647.5,119.86102,0.56172,2.40672,0.5659385,1.0,1.0,0.620257,EBONI-04
7244,3648.0,120.15436,0.542318,2.4075305,0.53520644,1.0,1.0,0.63088244,EBONI-04
7245,3648.5,121.31476,0.50803363,2.393992,0.5042836,1.0,1.0,0.61693156,EBONI-04
7246,3649.0,120.656265,0.49222946,2.381108,0.51818895,1.0,1.0,0.57795155,EBONI-04
7247,3649.5,117.453575,0.5005286,2.3874638,0.5948842,1.0,1.0,0.5786009,EBONI-04
7248,3650.0,116.39272,0.5331875,2.3928962,0.68103594,1.0,1.0,0.627251,EBONI-04
7249,3650.5,118.114845,0.5641163,2.40249,0.6922942,1.0,1.0,0.637149,EBONI-04
7250,3651.0,121.05907,0.5654543,2.380001,0.5896074,1.0,1.0,0.6168374,EBONI-04
7251,3651.5,122.73793,0.51810396,2.3648953,0.4707035,1.0,1.0,0.5994686,EBONI-04
7252,3652.0,122.21096,0.494908,2.3812044,0.42076406,1.0,1.0,0.593125,EBONI-04
7253,3652.5,123.1553,0.498559,2.3431196,0.37969843,1.0,1.0,0.5704353,EBONI-04
7254,3653.0,122.19392,0.49260852,2.248209,0.38623568,1.0,1.0,0.59436524,EBONI-04
7255,3653.5,118.43793,0.503342,2.2084532,0.41948748,1.0,1.0,0.6409965,EBONI-04
7256,3654.0,114.33722,0.48449954,2.3122542,0.5132037,1.0,1.0,0.5736953,EBONI-04
7257,3654.5,113.00866,0.4720137,2.424867,0.61324424,1.0,1.0,0.5481479,EBONI-04
7258,3655.0,112.060036,0.52139306,2.464759,0.7475925,1.0,1.0,0.60120654,EBONI-04
7259,3655.5,110.16638,0.54285043,2.4639919,0.930525,1.0,1.0,0.6109415,EBONI-04
7260,3656.0,109.95803,0.5029321,2.467374,1.0088485,1.0,1.0,0.57317376,EBONI-04
7261,3656.5,111.029655,0.48539194,2.4640129,0.9562777,1.0,1.0,0.56167233,EBONI-04
7262,3657.0,109.012634,0.50244844,2.4550025,0.96402645,1.0,1.0,0.5599505,EBONI-04
7263,3657.5,105.24078,0.4950079,2.4672425,1.0208635,1.0,1.0,0.5517647,EBONI-04
7264,3658.0,104.34843,0.47185415,2.485777,1.0518125,1.0,1.0,0.5648021,EBONI-04
7265,3658.5,104.887695,0.4840065,2.4960475,1.0614325,1.0,1.0,0.562635,EBONI-04
7266,3659.0,104.92914,0.49207893,2.4900708,1.084991,1.0,1.0,0.56012905,EBONI-04
7267,3659.5,104.57361,0.47845158,2.4806716,1.1283846,1.0,1.0,0.5537605,EBONI-04
7268,3660.0,105.962074,0.4803614,2.4738374,1.117379,1.0,1.0,0.5535667,EBONI-04
7269,3660.5,106.19078,0.49694952,2.4644551,1.0375865,1.0,1.0,0.57723844,EBONI-04
7270,3661.0,102.903854,0.49865055,2.461426,0.9902389,1.0,1.0,0.58679,EBONI-04
7271,3661.5,98.7316,0.47719052,2.4614148,1.0852925,1.0,1.0,0.5842647,EBONI-04
7272,3662.0,94.65588,0.4667471,2.468369,1.308851,1.0,1.0,0.59604144,EBONI-04
7273,3662.5,91.61333,0.44673997,2.4816625,1.4686044,1.0,1.0,0.5797735,EBONI-04
7274,3663.0,93.67363,0.37885737,2.4980683,1.4083143,1.0,1.0,0.4932126,EBONI-04
7275,3663.5,99.60265,0.38046208,2.4975586,1.2476143,1.0,1.0,0.48667425,EBONI-04
7276,3664.0,101.96015,0.46271795,2.485838,1.1622151,1.0,1.0,0.5316305,EBONI-04
7277,3664.5,100.86281,0.4734835,2.4883878,1.2291635,1.0,1.0,0.54256105,EBONI-04
7278,3665.0,102.01646,0.43529475,2.4964905,1.2364641,1.0,1.0,0.54441947,EBONI-04
7279,3665.5,104.475006,0.4225228,2.4950328,1.0938443,1.0,1.0,0.5411986,EBONI-04
7280,3666.0,105.69814,0.44472653,2.498547,0.93111944,1.0,1.0,0.5522276,EBONI-04
7281,3666.5,106.30163,0.49179688,2.4850125,0.82130414,1.0,1.0,0.5717247,EBONI-04
7282,3667.0,104.94102,0.4739831,2.4738429,0.8965605,1.0,1.0,0.56821847,EBONI-04
